1 31 33 0.0247764993039 ('ExtensionCrashRecoveryTest.CrashAndUninstall', 'ExtensionCrashRecoveryTest.TwoExtensionsShutdownWhileCrashed')
1 492 19 -0.0103329583573 ('BrowserFocusTest.BackgroundBrowserDontStealFocus', 'NotificationsTest.TestShouldDisplayMultiFullscreen')
1 42 163 -0.00523867215433 ('ExtensionCrashRecoveryTest.TwoExtensionsReloadIndependently', 'SitePerProcessInteractiveBrowserTest.TabAndMouseFocusNavigation')
1 45 40 0.0148757853831 ('ExtensionCrashRecoveryTest.ReloadIndependently', 'ExtensionCrashRecoveryTest.TwoExtensionsCrashFirst')
4 492 21 0.0192586494591 ('BrowserFocusTest.BackgroundBrowserDontStealFocus', 'WebViewInteractiveTests/WebViewInteractiveTest.KeyboardFocusWindowCycle/0')
5 163 792 -0.0677167734654 ('SitePerProcessInteractiveBrowserTest.TabAndMouseFocusNavigation', 'TabDragging/DetachToBrowserTabDragControllerTest.DragToSeparateWindow/0')
1 53 334 -0.0210175040843 ('MenuControllerMnemonicTestTitleMatch.TitleMatch', 'PlatformNotificationServiceBrowserTest.UserClosesPersistentNotification')
2 334 28 0.000585977685291 ('PlatformNotificationServiceBrowserTest.UserClosesPersistentNotification', 'X11TopmostWindowFinderTest.NonRectangularNullShape')
1 32 792 -0.0294625247516 ('BrowserCommandControllerInteractiveTest.ShortcutsShouldTakeEffectInBrowserFullscreen', 'TabDragging/DetachToBrowserTabDragControllerTest.DragToSeparateWindow/0')
4 492 45 -0.00431735208 ('BrowserFocusTest.BackgroundBrowserDontStealFocus', 'ExtensionCrashRecoveryTest.ReloadIndependently')
1 40 194 -0.00714855533153 ('ExtensionCrashRecoveryTest.TwoExtensionsCrashFirst', 'MouseLeaveTest.ModalDialog')
1 1 1 1.0 ('OmniboxViewTest.BasicTextOperations', 'OmniboxViewTest.EscapeToDefaultMatch')
1 41 334 -0.0164480171563 ('ExtensionCrashRecoveryTest.ReloadTabsWithBackgroundPage', 'PlatformNotificationServiceBrowserTest.UserClosesPersistentNotification')
1 68 1 0.120419554109 ('MenuModelAdapterTest.RebuildMenu', 'PopupBlockerBrowserTest.TapGestureWithCtrlKey')
1 1 36 0.166058677425 ('BrowserActionInteractiveTest.CloseBrowserWithDevTools', 'TestAsNormalAndGuestUser/SpokenFeedbackTest.ChromeVoxShiftSearch/0')
1 50 40 0.0131806935588 ('ExtensionCrashRecoveryTest.CrashAndUnloadAll', 'ExtensionCrashRecoveryTest.TwoExtensionsCrashFirst')
4 94 129 0.013735455221 ('BridgedNativeWidgetUITest.FullscreenEnterAndExit', 'WebViewInteractiveTests/WebViewInteractiveTest.TextSelection/0')
2 87 4 0.10432187431 ('AppListTest.PressAppListButtonToShowAndDismiss', 'SitePerProcessInteractiveBrowserTest.FullscreenElementInABAAndExitViaJS')
1 25 14 0.0497622617761 ('BookmarkBarViewTest10.KeyEvents', 'UserDataDowngradeBrowserNoMSITest.Test')
1 19 334 -0.00417457305874 ('NotificationsTest.TestShouldDisplayMultiFullscreen', 'PlatformNotificationServiceBrowserTest.UserClosesPersistentNotification')
1 41 40 0.0164069005025 ('ExtensionCrashRecoveryTest.ReloadTabsWithBackgroundPage', 'ExtensionCrashRecoveryTest.TwoExtensionsCrashFirst')
1 45 36 0.0166121235478 ('ExtensionCrashRecoveryTest.ReloadIndependently', 'ExtensionCrashRecoveryTest.TwoExtensionsOneByOne')
1 50 1 0.140698572214 ('ExtensionCrashRecoveryTest.CrashAndUnloadAll', 'LoginUserTest.UserPassed')
